iso3,country,pillar,cluster,action_area,indicator_id,indicator_name,indicator_type,variable_name,question_type,question_text,hierarchy_level,data_type,response,response_value,normalized_response_value,weight,score,parent,question_order,wib,wiaa,wic,regional_hub,un_region,barometer_region
TGO,Togo,Governance,Governance Foundation,Data Protection,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL,main question,"To what extent do relevant laws, regulations, policies, and guidance provide a comprehensive framework for protection of personal data?",1,computed,,,,,64.0,G.GOVERNANCE.DPL,50948.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Protection,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.a,section,Existence,2,computed,,,,1.0,1.0,G.GOVERNANCE.DPL,50949.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Protection,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.a,sub-group,Exist of existence:,3,computed,,,,1,1.0,G.GOVERNANCE.DPL.a,50950,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Protection,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.a.EXISTS,sub-question,Existence Question 1 What is the nature of the framework?,4,response,A framework exists and has the force of law.,2.0,1.0,,,G.GOVERNANCE.DPL.a,50951.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Protection,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.a.EXISTS.2,supporting question,Please provide brief details,4,supporting,"The governance framework for data protection in Togo is established by **Law No. 2019-014**, which was formally adopted and promulgated, giving it the force of law. This legislation regulates the collection, processing, transmission, storage, usage, and protection of personal data, ensuring the rights of data subjects and the responsibilities of data controllers are clearly defined. Additionally, it creates an independent regulatory authority responsible for overseeing compliance, making the framework both comprehensive and legally enforceable.",,,,,G.GOVERNANCE.DPL.a.EXISTS,50951.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Protection,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.a.EXISTS.4,supporting question,Please provide a URLs for where evidence can be found,4,supporting,https://jo.gouv.tg/sites/default/files/JO/JOS_29_10_2019-64E%20ANNEE-N%C2%B026%20TER.pdf,,,,,G.GOVERNANCE.DPL.a.EXISTS,50951.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Protection,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.a,sub-group,Extent of existence:,3,computed,,,,1,1.0,G.GOVERNANCE.DPL.a,50952,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Protection,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.a.EXTENT,sub-question,Existence Question 2 How comprehensive in terms of jurisdiction is the coverage of the framework assessed for this question?,4,response,The framework provides national coverage.,2.0,1.0,,,G.GOVERNANCE.DPL.a,50953.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Protection,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.a.EXTENT_SECTOR,sub-question,Existence Question 3 How broadly does this data protection framework apply?,4,response,The framework applies widely across all sectors (including public and private sector).,2.0,1.0,,,G.GOVERNANCE.DPL.a,50954.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Protection,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.a.EXTENT_SECTOR.2,supporting question,Please describe what sectors the framework applies to,4,supporting,"The data protection framework in Togo, established by Law No. 2019-014, applies to various sectors, including the public sector, which encompasses government agencies and institutions; the private sector, involving businesses of all sizes; non-governmental organizations (NGOs); the education sector, covering schools and universities; the healthcare sector, which includes hospitals and clinics; technology and telecommunications companies; and research institutions. This comprehensive coverage ensures robust protection of personal data across all domains.",,,,,G.GOVERNANCE.DPL.a.EXTENT_SECTOR,50954.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Protection,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.a.EXTENT_SECTOR.3,supporting question,Please indicate which section of the framework refers to this issue,4,supporting,Article 2,,,,,G.GOVERNANCE.DPL.a.EXTENT_SECTOR,50954.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Protection,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.a.EXTENT_SECTOR.4,supporting question,Please provide supporting URLs as necessary,4,supporting,https://jo.gouv.tg/sites/default/files/JO/JOS_29_10_2019-64E%20ANNEE-N%C2%B026%20TER.pdf,,,,,G.GOVERNANCE.DPL.a.EXTENT_SECTOR,50954.0,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
TGO,Togo,Governance,Governance Foundation,Data Protection,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.a,sub-group,Existence summary:,3,summary,,,,,,G.GOVERNANCE.DPL.a,50955,0.0334,1.0,0.1843,LDRI (Africa),Western Africa,Africa
